File: qperf-go
Type: cpu
Time: Nov 16, 2023 at 7:29pm (CET)
Duration: 5.50s, Total samples = 10.02s (182.02%)
Showing nodes accounting for 10.02s, 100% of 10.02s total
      flat  flat%   sum%        cum   cum%
     0.02s   0.2% 86.23%      0.06s   0.6%  runtime.modtimer
     0.02s   0.2% 86.43%      0.02s   0.2%  runtime.nanotime (inline)
     0.02s   0.2% 86.63%      0.30s  2.99%  runtime.runqgrab
     0.02s   0.2% 86.83%      0.04s   0.4%  runtime.sellock
     0.02s   0.2% 87.03%      0.02s   0.2%  runtime.selunlock
     0.02s   0.2% 87.23%      0.05s   0.5%  runtime.typedmemmove
     0.02s   0.2% 87.43%      0.03s   0.3%  runtime.writeHeapBits.flush
     0.02s   0.2% 87.62%      0.02s   0.2%  runtime/internal/atomic.(*Int64).Load (inline)
     0.02s   0.2% 87.82%      0.04s   0.4%  sync.(*poolDequeue).popTail
     0.02s   0.2% 88.02%      0.02s   0.2%  sync/atomic.StorePointer
     0.01s   0.1% 88.12%      0.01s   0.1%  bytes.(*Buffer).Len
     0.01s   0.1% 88.22%      0.63s  6.29%  bytes.(*Buffer).ReadFrom
     0.01s   0.1% 88.32%      0.01s   0.1%  bytes.(*Buffer).tryGrowByReslice
     0.01s   0.1% 88.42%      0.01s   0.1%  bytes.(*Reader).Len
     0.01s   0.1% 88.52%      0.05s   0.5%  crypto/aes.(*aesCipherAsm).Encrypt
     0.01s   0.1% 88.62%      0.02s   0.2%  crypto/aes.(*gcmAsm).Seal
     0.01s   0.1% 88.72%      0.01s   0.1%  crypto/aes.gcmAesEnc
     0.01s   0.1% 88.82%      0.01s   0.1%  crypto/aes.gcmAesFinish
     0.01s   0.1% 88.92%      0.01s   0.1%  crypto/aes.sliceForAppend
     0.01s   0.1% 89.02%      0.01s   0.1%  encoding/binary.bigEndian.Uint16
     0.01s   0.1% 89.12%      0.01s   0.1%  github.com/quic-go/qtls-go1-20.(*Conn).handshakeContext
